,Trait Accession,Trait Name,odds ratio,exact p-value,adj p-value,Total number of related genes in database,Number of related genes in user/study list
203,TO_0000975,grain width,1.371011759,0.423283722,0.595502099,249,5
204,TO_0000609,potassium content,0.60683543,0.428221617,0.599510264,444,4
205,TO_0006038,floral organ number,1.155694316,0.445939526,0.615039156,1474,25
206,TO_0002677,brassinosteroid sensitivity,1.291440389,0.447606969,0.615039156,264,5
207,TO_0006042,lithium content,1.714586695,0.447885657,0.615039156,40,1
208,TO_0000543,leaf nitrogen content,1.714586695,0.447885657,0.615039156,40,1
209,TO_0000668,mycotoxin content,1.630919893,0.464045233,0.634195152,42,1
210,61,Stem solidness,1.307641492,0.474734967,0.645729552,313,6
211,TO_0000295,chlorophyll b content,1.328772787,0.497932255,0.673326359,154,3
212,TO_0000391,seed size,1.101064774,0.499716079,0.673326359,3156,51
213,TO_0000527,sodium uptake,0.567396974,0.503206767,0.674861411,356,3
214,TO_0000354,aluminum sensitivity,1.286127816,0.510340007,0.681244567,159,3
215,TO_0002682,plant cell shape,1.392992424,0.51697094,0.683735759,49,1
216,TO_0000293,chlorophyll a content,1.392992424,0.51697094,0.683735759,49,1
217,TO_0002692,root meristem development,1.198589609,0.537159546,0.707177934,739,13
218,TO_0001051,root hair density,1.197387695,0.556067597,0.728727855,455,8
219,TO_0000576,stem length,0.684045599,0.570712684,0.740163995,493,5
220,TO_0000735,plastochron,0.684045599,0.570712684,0.740163995,493,5
221,TO_0000371,yield trait,0.831539589,0.572930932,0.740163995,1381,17
222,TO_0002643,carbon isotope discrimination,1.221569145,0.575110003,0.740163995,223,4
223,TO_0006053,zinc concentration,1.152720842,0.583647145,0.747797904,59,1
224,TO_0000310,self-incompatibility,0.867025249,0.612857447,0.779029563,1715,22
225,TO_0000148,viral disease resistance,1.061188811,0.613451851,0.779029563,64,1
226,TO_0000136,leaf relative water content,0.842664009,0.618683555,0.782212248,1123,14
227,TO_0002730,grain shape,1.165161272,0.625157513,0.784385039,292,5
228,TO_0020100,nitrate uptake,1.101820268,0.625868202,0.784385039,1173,19
229,TO_0000701,turgor pressure,1.150380223,0.636788487,0.793224868,710,12
230,TO_0002641,acid detergent fiber,0.634037635,0.638449284,0.793224868,319,3
231,TO_0002757,flag leaf length,0.610777101,0.642578538,0.794913967,331,3
232,TO_0000296,vegetative vigor,1.40789934,0.656218421,0.798028334,97,2
233,88,Hessian fly damage,1.15985311,0.654347054,0.798028334,352,6
234,TO_0000315,bacterial disease resistance,0.81208779,0.648393105,0.798028334,749,9
235,TO_0002667,abscisic acid content,1.438201825,0.653156203,0.798028334,95,2
236,TO_0006064,rolled leaf,1.077910226,0.667557083,0.799461963,1514,24
237,TO_0000484,seed shape,1.298457358,0.669554305,0.799461963,105,2
238,TO_0000541,leaf position,1.298457358,0.669554305,0.799461963,105,2
239,TO_0001026,respiration rate,1.099327616,0.670414595,0.799461963,866,14
240,TO_0000654,shoot system growth and development trait,1.285960978,0.671325203,0.799461963,106,2
241,TO_0001006,adventitious root number,1.164772628,0.677080115,0.802983443,409,7
242,TO_0000467,cell membrane stability,0.762466394,0.693612695,0.812517728,443,5
243,TO_0006007,polysaccharide content,1.162844467,0.691901307,0.812517728,117,2
244,TO_0000434,root activity,1.091207623,0.691873061,0.812517728,436,7
245,TO_0000428,callus induction,1.063957713,0.702008483,0.819009896,1917,30
246,TO_0000149,seed width,1.078359823,0.709721975,0.823658005,126,2
247,TO_0000352,plant dry weight,1.069723615,0.711732353,0.823658005,127,2
248,TO_0000625,spikelet density,0.414893078,0.736547762,0.848952641,162,1
249,TO_0000571,shoot fresh weight,1.076980549,0.739841566,0.849338118,631,10
250,TO_0000605,hydrogen peroxide content,0.829674104,0.74418637,0.850922264,652,8
251,TO_0000444,parasitic weed,1.055665418,0.76381394,0.86989921,193,3
252,TO_0000196,amylose content,0.627290272,0.77522866,0.879409587,215,2
253,TO_0000146,seed length,0.583380651,0.779962614,0.881296339,231,2
254,TO_0000027,culm number,1.040602761,0.796427604,0.896371461,261,4
255,TO_0000652,leaf necrosis,1.031769211,0.818401924,0.916129737,329,5
256,TO_0002660,cytokinin content,0.78832871,0.823036488,0.916129737,343,4
257,TO_0000731,lignin content,1.03473358,0.825864228,0.916129737,1444,22
258,TO_0000766,petiole length,1.099294653,0.826751226,0.916129737,371,6
259,TO_0000449,grain yield per plant,1.071156342,0.841784642,0.929193689,444,7
260,TO_0000074,blast disease resistance,1.037778296,0.845015864,0.929193689,458,7
261,TO_0012001,leaf area index,1.018794617,0.856926454,0.938694245,533,8
262,TO_0002672,auxin content,1.030670898,0.900401112,0.982566993,1120,17
263,TO_0000241,leaf number,0.942051282,0.916126478,0.995940528,1582,22
264,TO_0000506,nitrogen recycling,0.846056759,1,1,160,2
265,TO_0000919,grain weight,0.988126995,1,1,2471,36
266,TO_0000230,crown rootless,0.903245135,1,1,225,3
267,TO_0000135,leaf length,0.982137392,1,1,1243,18
268,TO_0000231,endospermless,0.919850556,1,1,221,3
269,TO_0000271,inflorescence length,0.777226649,1,1,87,1
270,TO_0000280,seedling vigor,0.742657343,1,1,91,1
271,TO_0000188,drought sensitivity,0.872378358,1,1,388,5
272,TO_0006020,shoot apical meristem development,0.526122827,1,1,128,1
